,actorName,Ethnicity,Orientation
0,Leonardo DiCaprio,White,Straight
1, Elliot Page,,
2, Ben Kingsley,Multiracial,Straight
3, Mark Ruffalo,White,Straight
4, Tom Hardy,White,Straight
5, Max von Sydow,White,Straight
6, Joseph Gordon-Levitt,White,Straight
